gnd,surname,prename,name_complete,gender,biography_1,bibliography_1,alternative_1,biography_alternative_1,bibliography_alternative_1,alternative_2,biography_alternative_2,bibliography_alternative_2,alternative_3,biography_alternative_3,bibliography__alternative_3,alternative_4,biography_alternative_4,bibliography_alternative_4,alternative_5,biography__alternative_5,bibliography_alternative_5
118834584,Christen,Frau Clara,Christen Clara,female,geb. Ziegler. Biographie u. Werke s. Clara Ziegler. Band II.,.,Ziegler Clara,"München, Königinstrasse 25, wurde am 27. April 1844 als zweites Kind der Seidenfärbers-Eheleute Babette und Wilhelm Ziegler in München geboren. In ihrem 17. Lebensjahre reifte in Clara der Entschluss zur Bühne zu gehen. Sie teilte diesen Entschluss ihrem Vormunde (der Vater war zwei Iahre früher gestorben), dem Hofschauspieler Adolph Christen, der ein Freund ihres Vaters war, mit. Derselbe riet ihr ernstlich ab; ihre Gestalt hielt er ungeeignet, ihr Talent nicht ausreichend. Trotzdem gab er ihrem Drängen nach und erteilte ihr den erbetenen Unterricht, der schon nach sechs Monaten solchen Erfolg hatte, dass C. Z. in Bamberg als Adrienne Lecouvreur auftreten konnte. Einige Monate später debütierte sie am Münchener Hoftheater. Nach manigfachen Enttäuschungen und Kämpfen, welche das Bühnenleben im Gefolge hat, wurde sie 1867 vom königl. Hoftheater in München auf Lebensdauer für diese Bühne verpflichtet. Schon nach fünf Iahren löste sie jedoch das Verhältnis und gastierte seither nur auf Gastspielen. Seit 1876 ist. sie Gattin ihres früheren Lehrers. des obgenannten Adolph Christen. Schriftstellerisch hat sie sich mit mehreren dramatischen Kleinigkeiten versucht.","‒ Der Türmer von St. Peter. (Türmers Weihnachtsfest. – Türmers Osterfest.) Ein ernstes u. ein heiteres Lebensbild in je 1 Akt. 8. (72) München 1897, Th. Ackermann, geb. 2.60 ‒ Flirten. Lustsp. 16. (35 m. 1 PI.) Leipzig 1895, Ph. Reclam jr. –.20 ‒ Furcht vor der Schwiegermutter. Schwank. 16. (30) Ebda. 1896. –.20",.,.,.,.,.,.,.,.,.,.,.,.
126207720,Clasen-Schmid,Frau Mathilde,Clasen-Schmid Mathilde,female,"Ps. Curt v. Wildenfels, Leipzig, Karolinenstrasse 13 I, geboren den 4. August 1834 in Wildenfels i. S., erlangte in der ersten Bürgerschule in Leipzig ihre allgemeine Schulbildung, welche sie später in der Absicht, Lehrerin zu werden, durch Privatstudien vervollständigte und ausser der Muttersprache das Französische und Italienische pflegte. Besonders erwarb sie sich während eines Aufenthaltes in Warschau als Erzieherin in der Werke s. auch Curt von Wildenfels. 1. Canevas-Stickerei. Strickerei. Häkelarbeit. Stickerei in weiss u. bunt. (211 m. H.) 1887. 2. Tüllstickerei, Spitzen u. Guipüren, Durchziehen in Tüllu. Filet-Knüpfarbeit, Franzen u. Quasten. (179 m. H.) 1890.","‒ Das Frauenkostüm in praktischer, konventioneller u. ästhetischer Beziehung. 14. Kapitel über die Hauptmomente der weibl. Bekleidg. 8. (151) Leipzig 1888, Hoffmann & Ohnstein. n 2.–, geb. n 3.– ‒ Genrebilder u. Skizzen. 2. Aufl. 8. (220) (1890) 1892, Leipzig, R. Clausner. 1.– ‒ Handbuch f. Frauenarbeiten. 3. Aufl. (1. Aufl. 1879) 8. (308 m. H.) Leipzig 1889, Hoffmann & Ohnstein. n 3.–, geb. n 4,– ‒ Künstliche Blumen aus verschied. Material naturgetreu herzustellen. Nebst e. Anh. üb. Blumenu. FarbenSymbolik. 8. (472 m. H.) Ebda. 1886. n 5.–, geb. n 6.– ‒ Lehrbuch f. Massnehmen, Zuschneiden u. Anfertigen v. Damenkleidern. 8. (40 m. Abbildgn.) Leipzig 1894, P. Ehrlich. n 1.50 ‒ Musterbuch für Frauenarbeiten m. erklär. Text. 2. Aufl. 2. Bde. 8. Leipzig 1881, Hoffmann & Ohnstein. geb. à n 4.– ‒ Dasselbe. 3. Aufl. d. 1. Bdes. 1893. (237) Ebda.",Clasen-Schmid Mathilde,Biographie u. Werke s. Band I.,"‒ Neues System des Zuschneidens der Damenkleider auf Grundlage des Dreiecks. Ins Deutsche übertr. 4. (28 m. H.) Leipzig 1880, Hoffmann & Ohnstein. 1.50",.,.,.,.,.,.,.,.,.,.,.,.
1050524160,Claud-Saar,Frau Anna,Claud-Saar Anna,female,"geb. Scholz, Nizza, Rue Masséna 26, wurde am 10. März 1853 während eines Aufenthaltes ihrer in Wien lebenden Eltern um, wie sie mit Humor bemerkt, nach schlesischer Sitte als erstes Enkelkind bäuerlicher Grosseltern einer Anzahl Federbetten, einer Kuh und etlicher Kartoffelrechte nicht verlustig zu gehen, über einem Kuhstall zu Lindenau in Schlesien geboren. Nachdem ihr Vater, der Mühlenund Maschinenbauer war, infolge verunglückter Geschäftsunternehmungen in Strehlen, wieder nach Wien zog, besuchte sie die Volksschule in Gaudenzdorf. Ihr übersprudelnder, nicht zu bändigender Humor, sowie ihre lebhafte Phantasie, fanden nur geteilten Beifall und zogen ihr wiederholt Strafen zu. Trotzdem setzte sie es durch, dass sie »nach etlichen höheren Töchterschulen« auch die Theaterschule »Polyhymnia« besuchen durfte. Sie war zuerst an verschiedenen Provinzialbühnen thätig, bekam aber schon 1872 ein Engagement bei Laube am Wiener Stadttheater, wo sie sich bei der ersten Leseprobe in den Schauspieler Claud-Saar verliebte, den sie auch 1875 heiratete. Erst 1890, als ihr Mann seine Stellung als Regisseur und Dramaturg aufgegeben und zu seinen französischen Verwandten nach Nizza übersiedeln musste, fing sie an zu schreiben. Die »Bilder aus",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
132827131,Claudius,Marie,Claudius Marie,female,Biographie s. Marie Asmus. Nachtrag.,.,Petzel Marie,"Ps. M. Redeatis und M. Claudius, Berlin, Yorkstrasse 85, ist als Tochter eines evangelischen Predigers in Schollehne, Provinz Sachsen, geboren. Lange Iahre wirkte sie als Lehrerin bis sie wegen ihres Übertrittes zur katholischen Kirche ihr Amt als Lehrerin des Sophienstiftes in Weimar verlor. Stets als Schriftstellerin für die Jugend thätig, widmete sie sich nunmehr mit verdoppeltem Eifer diesem Berufe. Viele ihrer Arbeiten fanden in katholischen Blättern Aufnahme. Werke s. M. Claudius und M. Redeatis.","‒ Alte Märchen in neuen Kleidern. 4. (122 m. 8 H.) Berlin 1875, Rauh. kart. n 9.–; geb. m. Goldschn. n 13.– ‒ Aus Vergangenheit u. Gegenwart. 8. (180) Glogau 1890, Flemming. geb. 3.– ‒ Bekenntnisse einer Diakonissin. Erzählg. 8. (32) Berlin 1887, Deutsche evangelische Buchu. Traktat-Gesellschaft. n –.40 ‒ Das Erdbeerkörbchen. 16. (24) Hamburg 1876, Agentur des Rauhen Hauses. n –.10 ‒ Die erste grosse Reise. Eine Erzählg. aus der Mädchenzeit. 12. (78) Ebda. 1876. n –.60 ‒ Ein seliges Weihnachtsfest. 5. Aufl. 8 (23) Ebda. 1881. n –.10 ‒ Gotteswege. Eine Erzählg. 8. (192) Berlin 1875, Rauh. 2.25; geb. n 3.25 ‒ Kurze Lebensbilder der Heiligen. 1.–18. Heft 1890/1.",Petzel Minna,"Ps. Martin Claudius, Berlin SW., Yorkstrasse 85, Schwester der Vorigen (siehe diese). Sie hat gleichfalls für das »Töchter-Album« und »Herzblättchens Zeitvertreib« von Thekla v. Gumpert geschrieben, ferner mehrere kleine Bücher, die von evangelischen Buchhandlungen verlegt wurden.",.,Petzel Wilhelmine,"geb. Lentze, Mutter der Schriftstellerinnen Marie, Minna und Rosa Petzel (siehe diese). Ps. Martin Claudius, geboren den 12. Januar 1802 in Sandow in der Mark, gestorben den 2. Oktober 1885. Werke s. Martin Claudius.",.,.,.,.,.,.,.
1014936934,Clausius,Sabine,Clausius Sabine,female,"Frau Major, Ps. S. Kyn, Harburg, geboren zu Guhrau 26. Februar 1856.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116654430,Clemen,Adele,Clemen Adele,female,"Feldblumen. 16. (96) Strehlen 1882, Gemeinhardt. geb. m. Goldschn. n 1.50",.,Clemen Adele,"Hannover, wurde am 11. September 1836 zu Minden in Westfalen als die älteste Tochter eines Kaufmannes geboren. Ihre Erziehung und Ausbildung zur Lehrerin erhielt sie in Kaiserswerth. Seit 1858 ist sie als Erzieherin thätig. Werke s. Adele Clemen. Band I.",.,.,.,.,.,.,.,.,.,.,.,.,.
124078478,Clemens,Hanna,Clemens Hanna,female,s. Johanna Klemm. Nachtrag.,.,Klemm Johanna,"Rostock, Paulstrasse 54, ist Mitarbeiterin der »Illustrierten Frauen-Zeitung«, Verlag F. Lipperheide, Berlin und vieler anderer Zeitschriften, Tagesblätter und Jugendschriften. Sie schreibt unter dem Pseudonym Hanna Clemens.",.,.,.,.,.,.,.,.,.,.,.,.,.
11654340X,Clément,Frl. Bertha,Clément Bertha,female,"Ludwigslust i. M., Schwerinerstrasse 16, ist am 25. August 1852 in Ludwigslust i. M. geboren. Seit ihrer frühesten Jugend war es ihr grösstes Vergnügen, sich Geschichten auszudenken und dieselben mit all dem Schönen und Interessanten auszuschmücken, das sie aus den Erzählungen ihres Vaters, der als Maler lange im Süden geweilt, schöpfte. Später ist sie selbst viel gereist, um Welt und Menschen kennen zu lernen, hat sich aber erst spät entschlossen, mit ihren Arbeiten in die Öffentlichkeit zu treten. Sie hat sich fast ausschliesslich der Jugendlitteratur zugewandt, und sind ausser den herausgegebenen Büchern auch Erzählungen in verschiedenen Jugendblättern erschienen.","‒ Das Rebenhäusel. 8. (134 m. 1 Titelb.) Breslau 1895, E. Trewendt. n –.60, kart. n –.75, geb. in Leinw. n –.90 ‒ Der Geigersepp u. sein Enkel. Eine wahre Geschichte. 8. (124 m. 1 Titelb.) Ebda. 1893. n –.60, kart. n –.75, geb. in Leinw. n –.90 ‒ Für brave Kinder. Mit lust. Reimen u. Verschen. 4. (26 m z. T. farb Bildern) Nürnberg 1896, Th. Stroefer. kart. 2.– ‒ Hauptmanns Puck. Erzählg. f. Mädchen v. 12–14 Iahren. 2. Aufl. 8. (216 m. 4 Vollb.) Stuttgart 1896, G. Weise. geb. in Leinw. bar 3.–, in Celluloid bar 4.50 ‒ Im Lande der Sonne. Rom. 8. (320) Schwerin 1896, F. Bahn, n 4.–, geb. n 5.– ‒ Seine kleine Frau. Erzählg für erwachsene Mädchen. 3. Aufl. 8. (302 m. 1 Autotypie) Stuttgart 1896, G. Weise. geb. in Leinw. bar 4.50, in Celluloid 6.– ‒ Stranddistel. Erzählg. f. junge Mädchen. 8. (271 m. 1 Bild) Ebda. geb. in Leinw. bar 4.50, in Celluloid 6.– ‒ Tage des Glücks. Erzählg. 8. (212 m. 4 Farbendr.) Ebda. 1893 3. Aufl. geb. in Leinw. 3.–, in Celluloid m. Goldschn. 4.50",Clément Bertha,Biographie u. Werke s. Band I.,"‒ Der silberne Kreuzbund. Erzählg. f. junge Mädchen. 8. (278 m. Bildern) Stuttgart 1897, G. Weise. geb. 3.– u. 4.50 ‒ Frühlingsblüten. Eine Gabe f. d. junge Mädchenwelt. Mit Beiträgen von Helene Binder. Martha Eitner, Osk. Freystein etc. 2 Tle. 4. (351 m. Illustr.) Nürnberg 1897, Th. Stroefer. geb. in 1 Bd. 7.50 ‒ Prinzess Ilse. Erzählg. f. erwachsene Mädchen. 8. (279 m. Illustr.) Stuttgart 1897, G. Weise. geb. 4.50 u. 6.–",.,.,.,.,.,.,.,.,.,.,.,.
102439974,Clodius,Julie Friederike Henriette,Clodius Julie Friederike Henriette,female,"geborne Stölzel, geboren 1755 in Altenburg, gestorben 1805 in Dresden.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1215213433,Coellen,Frl. Marie,Coellen Marie,female,"Aachen, Südstrasse 7.","‒ Lose Blätter aus dem Leben d. hl. Franziskus v. Assisi. 12. (90) Heiligenstadt 1896, F. W. Cordier. geb. n 2.40",Coellen Marie,S. auch Band I.,"‒ St. Alderich. 16. (10) Heiligenstadt 1897, F. W. Cordier. –.20",.,.,.,.,.,.,.,.,.,.,.,.
1022913891,Coester,Mathilde,Coester Mathilde,female,"Kinderleben im Elternhaus in Bildern u. Versen. 4. (32 Chrom, m. Text.) Stuttgart 1883, Gebert & Veigel. geb. 4.50",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118804448,Cohn,Clara,Cohn Clara,female,"geb. Viebig, Ps. C. Viebig, Schöneberg, Kaiser Friedrichstrasse 16 I, ist als jüngstes Kind eines Oberregierungsrates in Trier geboren und empfing in Düsseldorf ihre Schulbildung. Charakteristisch für sie ist, von frühester Kindheit an eine grosse Liebe zur Natur, derartig, dass sie selbst meint, wir würden besser und glücklicher sein, wenn wir mehr in der Natur lebten. Nach dem Tode ihres Vaters wandte sie sich mit ihrer Mutter nach Berlin, um Gesangsstudien zu treiben. 1894 machte sie ihre ersten litterarischen Versuche in der Volkszeitung, und seitdem sind Romane, Novellen und Skizzen aus ihrer Feder durch verschiedene Blätter und Zeitschriften gegangen. In Vorbereitung für 1898 befinden sich ein Novellenband: »Vor Tau und Tag«, und ein Roman: »Dilettanten des Lebens«. Alle Werke erscheinen bei F. Fontane & Co. Berlin. Werke s. C. Viebig.",.,Viebig Clara,Biographie s. Clara Cohn.,"‒ Barbara Holzer. Schausp. 8. (83) Berlin 1897, F. Fontane & Co. 1.50 ‒ Dilletanten des Lebens. Rom. Ebda. 1898. U. d. Presse. ‒ Kinder der Eifel. Nov. 8. (303) Ebda. 1897. 3.50; geb. 5.– ‒ Rheinlandstöchter. Rom. 8. (563) Ebda. 1897. 6.–; geb. 7.50 ‒ Vor Tau und Tag. Nov. Ebda. 1898. U. d. Presse.",.,.,.,.,.,.,.,.,.,.,.,.
118189387,Cohn,Frl. Clementine,Cohn Clementine,female,"Ps. C. Berg, Breslau, Am Nicolaistadtgraben 18 III, ist am 22. April 1861 zu Breslau geboren und entstammt einem alten jüdischen Priestergeschlechte. Werke s. C. Berg.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
126219516,Commer,Frl. Clara,Commer Clara,female,"Breslau, Kreuzstrasse 44c, ist am 30. Dezember 1856 zu Berlin als Tochter des Professors und königlichen Musikdirektors Franz Commer ( 1887) geboren. Sie besuchte die königliche Elisabethschule und wurde 1872 mit einer Prämie der Königin Elisabeth entlassen. 1874 machte sie das Examen als preussische Lehrerin für höhere Töchterschulen bei den Ursulinerinnen in Berlin. Sie lebt seit 1888 bei ihrem Bruder, dem Universitätsprofessor Dr. Ernst Commer in Breslau. 1876–1880 brachte die »Germania« Novellen aus dem Englischen zum Beispiel »Tyborne«, »Die Perle im trüben Wasser« und »Die wilden Vögel von Killeevy«.","‒ Bilderbuch in Versen. 12. (144) Paderborn 1894, F. Schöningh. n 1.60; geb. m. Goldschn. n 2.60 ‒ Catalanische Lieder von I. Verdaguer. 16. (54) Münster 1891, Aschendorf, n 1.50 ‒ Columbus. Episches Gedicht. 16. (94) Ebda. 1892. n 1.50; geb. n 2.70 ‒ Der Reigen des Iahres. Ein Krippenspiel. 12. (22) Wien 1897, »St. Norbertus«, n –.30 ‒ Die 9 Chöre der Engel. – Heil. Frauen d. alten Bundes als Vorbilder der Muttergottes. 2 geistl. Spiele. 12. (39) Paderborn 1890, F. Schöningh. n –.50 ‒ Die 7 Engelfürsten als Beschützer d. 7 heil. Sakramente. – Die Weihnachtsfeier der Natur. 2 geistl. Spiele. Mit e. Musikbeilage. 12. (54) Ebda. n –.60 ‒ Englische Dichtgn. Deutsch, v. C. C. 8. (137) Münster 1887, F. Schöningh. n 1.40; geb. m. Goldschn. n 2.60 ‒ Fabiola. Dramat. Gedicht. Frei nach Wisemanns Fabiola bearb. 1. Aufl. 1887. 2. Aufl. 16. (43) Paderborn 1895, F. Schöningh. n –.60 ‒ Kleeblätter. Gedichte von K. Tynan. 16. (88) Breslau 1890, Görlich & Co. geb. m. Goldschn. n 2.– ‒ Lauretanische Litanei. 8. (48) Wien 1878, Manz. n –.60 ‒ Pankratius. Ein dramat. Gedicht in 12 Bildern. Frei nach Wisemanns Fabiola bearb. 12. (45) Münster 1887. F. Schöningh. n –.60 ‒ Verdaguers Atlantis. Deutsch von C. C. (195) Freiburg 1897, Herder. 2.40; geb. 4.–",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1061046710,Connemann,Joh,Connemann Joh. Theodora,female,"Theodora, geboren den 2. Januar 1845 in Stapelmoor, Ostfriesland, schreibt Romane und Novellen. Werke s. I. Nemo. Band II.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116655151,Conrad-Ramlo,Frau Marie,Conrad-Ramlo Marie,female,"Königlich bayerische Hofschauspielerin, München, Steinsdorfstrasse 7, geboren in München, 8. September 1850, besuchte das Konservatorium für Musik, nahm für kurze Zeit Privatunterricht bei der Schauspielerin Denker und bekam mit achtzehn Iahren ein Engagement in Kaiserslautern. Ein Iahr später wurde sie bereits für die Münchener Hofbühne verpflichtet, der sie noch heute angehört. Als Dichterin zeigte sie den Charakter einer starken, originellen Künstlernatur und hat auch in verschiedenen Zeitschriften eine Reihe kleinerer Arbeiten veröffentlicht. Auch einige Theaterstücke hat sie verfasst, die noch im Manuskripte liegen und den Weg zur Bühne noch nicht gefunden haben.","‒ Feuer! Eine Klostergeschichte. 8. (98) München 1894, Berlin, Schuster & Co. n 1.– ‒ Helldunkel. Nov. u. Skizzen. 8. (158) Dresden 1892, E. Pierson. n 2.–; geb. n 3.– ‒ Im Gnadenwald. Rom. 8. (302) Dresden 1895, C. Reissner. n 3.–; geb. n 4.– ‒ Landluft. Rom. 8. (256) Stuttgart 1892, Deutsche Verlags-Anstalt. n 3.–; geb. nn 4.– ‒ Passionsblumen. Novellenbuch. 8. (256 m. Portait) Ebda. 1891. n 3 –; geb. nn 4.–",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1055113177,Conradi,Johanna,Conradi Johanna,female,"An der Ostsee 8. (31) Mitau 1888, F. Besthorn. n 1.–","‒ Die Hauslehrerin in ihrem Berufe u. ihrer Stellung. 8. (116) Mitau 1875, Behre. n 2.– ‒ Georg Stein. Rom. 2. Ausg. 8. (303) (1864) 1879, Riga, Kymmel. n 3.60 ‒ Kleine Schriften f. d. Haus. Neue Folge. 8. (82) Mitau 1872, Lucas. n 1.– ‒ Lebensbilder a. d. baltischen Heimat. 8. (214) Ebda. 1861. n 3.–",Conradi Johanna,"Mitau, Kurland, geboren den (4.) 16. Juni 1814 in Sellgallen, Kurland, widmete sich dem Lehrfache und wirkte als Vorsteherin einer Töchterschule. Sie machte später Reisen durch Deutschland und widmet sich jetzt der Schriftstellerei. Werke s. Band I.",.,.,.,.,.,.,.,.,.,.,.,.,.
1184436738,Conwentz,Anna,Conwentz Anna,female,"Ps. TatJana von Dyckowska und Camilla Romana, Charlottenburg, Rückertstrasse 5, gehört einem der ältesten Patriziergeschlechter der altberühmten Hansestadt Danzig am Baltischen Meere an, und ist dortselbst geboren am 17. Mai 1858. Sie besitzt eine gediegene philosophisch-wissenschaftliche Ausbildung. Demgemäss sind auch philosophische und wissenschaftliche Essays, das Hauptgebiet ihres geistigen Schaffens.","‒ Aufzeichnungen e. Klosterbruders. 4 (122) Weimar 1891, Iüngst & Co. geb. n 3.– ‒ Aus der Gedankenwelt. 1894. ‒ Bedeutung d. Wilh. Stolzeschen Stenographie für den Kulturfortschritt. 1886. ‒ Der Gottesbegriff des zwanzigsten Iahrhunderts. 1896. ‒ Für Geist u. Herz. Eine Gabe für Deutschlands Töchter. Hrsg. v. A. C. (1. Reihe.) 8. (227) Berlin 1889, L. I. Münnich. geb. n 5.– ‒ Seelendramen. 1897.",Romana Camilla,Biographie und Werke s. Anna Conwentz.,.,.,.,.,.,.,.,.,.,.,.,.,.
1034676032,Cooper,Frl. Luise,Cooper Luise,female,"Hildesheim, Sedanstrasse 33, wurde als Tochter eines hannoverschen Geistlichen in dem kleinen Dorfe Oppeln im Regierungsbezirk Stade am 3. April 1849 geboren. Vom Berliner Frauen-Missionsverein für seine chinesische Findlingsmission auf Honkong gewonnen, wurde sie 1884 dorthin als Missionarin ausgesandt. Schon im Iahre 1886 musste sie wegen ernster Erkrankung – durchs Klima verursacht – wieder in ihre deutsche Heimat zurückkehren. Der Chinamission treu geblieben, hat sie seitdem ihre schriftstellerische Thätigkeit begonnen, die sie ganz in den Dienst der Mission stellt. Sie ist Mitarbeiterin verschiedener christlicher Missionsund anderer Zeitschriften. Ein Buch, betitelt: »Aus der deutschen Mission unter dem weiblichen Geschlecht in","‒ Aus der deutschen Mission unter d. weibl. Geschlechte in China. 8. I. Teil. Kulturbilder aus der Heidenwelt. (152) Hannover 1889, Verlag des Stefansstift. nn 1.– ‒ Dasselbe. II. Teil. Die Missionsgeschichte. 8. (151) Ebda. 1890. nn 1.– ‒ Dasselbe. III. Teil. (Bedeutend stärker.) Darmstadt 1897, C. F. Winter. U. d. Presse.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
112384552,Cordelia,,Cordelia,female,Der Testeid. Rom. 8. (269) Münster 1862; Theissing. 2.25.,"‒ Eine Dorfschule. Erzählg. 8 (96) Paderborn 1870, Junfermann. –.75 ‒ Erste Kämpfe. Mutter u. Sohn. Villa Eugenia. Drei Nov. Deutsch v. K. Tellmann. 16. (196) Leipzig 1888, Ph. Reclam jun. n –.40 ‒ Ethnea od. die Sklaven der Engländer. 8. (264) Münster 1856, Theissing. 2.– ‒ Julie u. Marie. Briefe üb. d. kathol. Kultus. 2. Aufl. 12. (276) Köln 1851, Bachem. 2.– ‒ Verfasserin d. Emilie u. Alwina. Julie u. Marie. Briefe üb. den kath. Kultus. 12. (198) Ebda. 1846. 2.– ‒ Von der Verfasserin der Agnes von Lilien, 2 Tle. 8. (720) Leipzig 1840, Brockhaus. 10.–",Cordelia,"Band II., u. Cordelia, Band I.",.,.,.,.,.,.,.,.,.,.,.,.,.
1168605822,Cordelia,,Cordelia ,female,Der Testeid. Rom. 8. (269) Münster 1862; Theissing. 2.25.,"‒ Eine Dorfschule. Erzählg. 8 (96) Paderborn 1870, Junfermann. –.75 ‒ Erste Kämpfe. Mutter u. Sohn. Villa Eugenia. Drei Nov. Deutsch v. K. Tellmann. 16. (196) Leipzig 1888, Ph. Reclam jun. n –.40 ‒ Ethnea od. die Sklaven der Engländer. 8. (264) Münster 1856, Theissing. 2.– ‒ Julie u. Marie. Briefe üb. d. kathol. Kultus. 2. Aufl. 12. (276) Köln 1851, Bachem. 2.– ‒ Verfasserin d. Emilie u. Alwina. Julie u. Marie. Briefe üb. den kath. Kultus. 12. (198) Ebda. 1846. 2.– ‒ Von der Verfasserin der Agnes von Lilien, 2 Tle. 8. (720) Leipzig 1840, Brockhaus. 10.–",Cordelia ,"Band II., u. Cordelia, Band I.",.,.,.,.,.,.,.,.,.,.,.,.,.
116169257,Cornelia,Helene,Cornelia Helene,female,Biographie und weitere Werke s. Hedwig Kiesekamp und L. Rafael.,"‒ Am Gardasee. Erzählgn., Märchen u. Skizzen. 8. (167) Arco 1889, Emmert. n 2.–, geb. n 3.– ‒ Frischer Märchenstrauss. n 1.50 ‒ Neuer Märchenschatz f. liebe Kinder. 8. (180) m. 5 L.) Mülheim 1875, Bagel. n 1.50",Kiesekamp Hedwig,"geb. Bracht, Ps. L. Rafael und Helene Cornelia, Münster, Fürstenstrasse 1, geboren am 21. Juli 1846 auf dem Rittergute Henrichenburg i. W., welches ihr Vater gepachtet hatte. Der Vater starb frühzeitig und hinterliess seiner Frau 7 Kinder. Den ersten Unterricht erhielt Hedwig in der Dorfschule, später in einer belgischen Klosterschule, aus welcher sie, 15 Iahre alt, zur Mutter zurückkehrte. Mit 18 Iahren heiratete sie und folgte ihrem Gatten nach Münster. Musikalisch begabt, wurde sie eine Schülerin des Prof. Dr. Grimm und bald wirkte sie als Solosängerin in Oratorienkonzerten. Zu den schönsten Augenblicken ihres Lebens zählt H. K., das Sopransolo in Brahms deutschem Requiem gesungen zu haben unter persönlicher Leitung Werke s. auch Helene Cornelia u. L. Rafael.","‒ Am Kamine. Märchen. 8. (153 m. 5 Chromolith.) Münster 1878, Russel. n 2.– ‒ Das Schützenfest. Lustsp. in 1 Akt. Paderborn, Esser. ‒ Der Geburtstag. Lustsp. in 1 Akt. Kempten, Kösel. ‒ Die Liebe siegt. Lustsp. in 1 Akt. Ebda. ‒ Frischer Märchenstrauss f. liebe Kinder. 8. (192 m. 5 kol. L.) Mühlheim 1880, Bagel. 1.80 ‒ Grossmutter erzähle. Märchen. Erzählgn. Gedichte. 8. (196 m. Bildern.) Münster 1896, Aschendorff. geb. n 4.–",Kiesekamp Hedwig,"Das Schützenfest. Lustsp. in 1 Akt. 8. (24) Paderborn 1897, I. Esser. 1.50 Ergänzg. zu Hedwig Kiesekamp. Band. I.",.,Kornelia Helene,Biographie s. Hedwig Kiesekamp. Werke s. auch L. Rafael.,"‒ Am Garda-See. Erzählgn., Märchen u. Skizzen. 8. (167) Arco 1889, Emmert. n 2.–; geb. n 3.– ‒ Frischer Märchenstrauss. 1.50 ‒ Neuer Märchenschatz für liebe Kinder. 8. (180 m. 5 L.) Mülheim 1875, Bagel. n 1.50",.,.,.,.,.,.
